eval_idx,cluster,dp,mp,sp,pp,sharded,active-chunks-per-dimension,preferred-dataset-splits,collective-optimization,inter-node-bw,intra-node-bw,batch_size,exec_time,is_oom,objective_0,objective_1
169,cl2,1,2,4,4,True,2,1,localBWAware,200,900,8,2991.3099266052245,False,3.4758614121758677,4.468347330412158
170,cl2,1,2,4,4,True,2,1,localBWAware,200,900,16,5969.600921630859,False,3.7759452987463327,4.468347330412158
171,cl2,1,2,4,4,True,2,1,localBWAware,200,900,24,8949.37009048462,False,3.9517924681813863,4.468347330412158
172,cl2,1,2,4,4,True,2,1,localBWAware,200,600,8,3006.375144195557,False,3.4780431721552874,4.296665190261531
173,cl2,1,2,4,4,True,2,1,localBWAware,200,600,16,5998.384973144531,False,3.778034335105919,4.296665190261531
174,cl2,1,2,4,4,True,2,1,localBWAware,200,600,24,8993.232424163818,False,3.953915817613107,4.296665190261531
175,cl2,1,2,4,4,True,2,1,localBWAware,100,900,8,2997.6505393981934,False,3.4767810022090155,4.463892988985907
176,cl2,1,2,4,4,True,2,1,localBWAware,100,900,16,5982.282147216797,False,3.776866892160643,4.463892988985907
177,cl2,1,2,4,4,True,2,1,localBWAware,100,900,24,8968.391928863526,False,3.9527145791613405,4.463892988985907
178,cl2,1,2,4,4,True,2,1,localBWAware,100,600,8,3012.7157569885253,False,3.4789581588905465,4.290034611362518
179,cl2,1,2,4,4,True,2,1,localBWAware,100,600,16,6011.066198730468,False,3.778951510797604,4.290034611362518
180,cl2,1,2,4,4,True,2,1,localBWAware,100,600,24,9012.254262542725,False,3.9548334359658566,4.290034611362518
181,cl2,1,2,4,4,True,2,1,baseline,200,900,8,2991.3099266052245,False,3.4758614121758677,4.468347330412158
182,cl2,1,2,4,4,True,2,1,baseline,200,900,16,5969.600921630859,False,3.7759452987463327,4.468347330412158
183,cl2,1,2,4,4,True,2,1,baseline,200,900,24,8949.37009048462,False,3.9517924681813863,4.468347330412158
184,cl2,1,2,4,4,True,2,1,baseline,200,600,8,3006.375144195557,False,3.4780431721552874,4.296665190261531
185,cl2,1,2,4,4,True,2,1,baseline,200,600,16,5998.384973144531,False,3.778034335105919,4.296665190261531
186,cl2,1,2,4,4,True,2,1,baseline,200,600,24,8993.232424163818,False,3.953915817613107,4.296665190261531
187,cl2,1,2,4,4,True,2,1,baseline,100,900,8,2997.6505393981934,False,3.4767810022090155,4.463892988985907
188,cl2,1,2,4,4,True,2,1,baseline,100,900,16,5982.282147216797,False,3.776866892160643,4.463892988985907
189,cl2,1,2,4,4,True,2,1,baseline,100,900,24,8968.391928863526,False,3.9527145791613405,4.463892988985907
190,cl2,1,2,4,4,True,2,1,baseline,100,600,8,3012.7157569885253,False,3.4789581588905465,4.290034611362518
191,cl2,1,2,4,4,True,2,1,baseline,100,600,16,6011.066198730468,False,3.778951510797604,4.290034611362518
192,cl2,1,2,4,4,True,2,1,baseline,100,600,24,9012.254262542725,False,3.9548334359658566,4.290034611362518
193,cl2,1,2,8,2,True,1,1,localBWAware,200,900,8,1586.5214355468752,False,3.20044594424408,4.468347330412158
194,cl2,1,2,8,2,True,1,1,localBWAware,200,900,16,3153.878764343262,False,3.4988449949571536,4.468347330412158
195,cl2,1,2,8,2,True,1,1,localBWAware,200,900,24,4720.322877502442,False,3.6739717060751396,4.468347330412158
196,cl2,1,2,8,2,True,1,1,localBWAware,200,600,8,1589.3239013671873,False,3.201212414665828,4.296665190261531
197,cl2,1,2,8,2,True,1,1,localBWAware,200,600,16,3159.316994476318,False,3.4995932036338684,4.296665190261531
198,cl2,1,2,8,2,True,1,1,localBWAware,200,600,24,4728.067543029785,False,3.674683672051626,4.296665190261531
199,cl2,1,2,8,2,True,1,1,localBWAware,100,900,8,1704.5618888854979,False,3.231612774126668,4.463892988985907
200,cl2,1,2,8,2,True,1,1,localBWAware,100,900,16,3345.410023498535,False,3.524449353801888,4.463892988985907
201,cl2,1,2,8,2,True,1,1,localBWAware,100,900,24,5002.18896560669,False,3.699160093865922,4.463892988985907
202,cl2,1,2,8,2,True,1,1,localBWAware,100,600,8,1708.3465209960937,False,3.2325759675781156,4.290034611362518
203,cl2,1,2,8,2,True,1,1,localBWAware,100,600,16,3351.454815673828,False,3.5252333686094093,4.290034611362518
204,cl2,1,2,8,2,True,1,1,localBWAware,100,600,24,5010.911817169189,False,3.699916760025694,4.290034611362518
205,cl2,1,2,8,2,True,1,1,baseline,200,900,8,1586.5214355468752,False,3.20044594424408,4.468347330412158
206,cl2,1,2,8,2,True,1,1,baseline,200,900,16,3153.878764343262,False,3.4988449949571536,4.468347330412158
207,cl2,1,2,8,2,True,1,1,baseline,200,900,24,4720.322877502442,False,3.6739717060751396,4.468347330412158
208,cl2,1,2,8,2,True,1,1,baseline,200,600,8,1589.3239013671873,False,3.201212414665828,4.296665190261531
209,cl2,1,2,8,2,True,1,1,baseline,200,600,16,3159.316994476318,False,3.4995932036338684,4.296665190261531
210,cl2,1,2,8,2,True,1,1,baseline,200,600,24,4728.067543029785,False,3.674683672051626,4.296665190261531
211,cl2,1,2,8,2,True,1,1,baseline,100,900,8,1704.5618888854979,False,3.231612774126668,4.463892988985907
212,cl2,1,2,8,2,True,1,1,baseline,100,900,16,3345.410023498535,False,3.524449353801888,4.463892988985907
213,cl2,1,2,8,2,True,1,1,baseline,100,900,24,5002.18896560669,False,3.699160093865922,4.463892988985907
214,cl2,1,2,8,2,True,1,1,baseline,100,600,8,1708.3465209960937,False,3.2325759675781156,4.290034611362518
215,cl2,1,2,8,2,True,1,1,baseline,100,600,16,3351.454815673828,False,3.5252333686094093,4.290034611362518
216,cl2,1,2,8,2,True,1,1,baseline,100,600,24,5010.911817169189,False,3.699916760025694,4.290034611362518
217,cl2,1,2,8,2,True,2,1,localBWAware,200,900,8,1586.5214355468752,False,3.20044594424408,4.468347330412158
218,cl2,1,2,8,2,True,2,1,localBWAware,200,900,16,3153.878764343262,False,3.4988449949571536,4.468347330412158
219,cl2,1,2,8,2,True,2,1,localBWAware,200,900,24,4720.322877502442,False,3.6739717060751396,4.468347330412158
220,cl2,1,2,8,2,True,2,1,localBWAware,200,600,8,1589.3239013671873,False,3.201212414665828,4.296665190261531
221,cl2,1,2,8,2,True,2,1,localBWAware,200,600,16,3159.316994476318,False,3.4995932036338684,4.296665190261531
222,cl2,1,2,8,2,True,2,1,localBWAware,200,600,24,4728.067543029785,False,3.674683672051626,4.296665190261531
223,cl2,1,2,8,2,True,2,1,localBWAware,100,900,8,1704.5618888854979,False,3.231612774126668,4.463892988985907
224,cl2,1,2,8,2,True,2,1,localBWAware,100,900,16,3345.410023498535,False,3.524449353801888,4.463892988985907
225,cl2,1,2,8,2,True,2,1,localBWAware,100,900,24,5002.18896560669,False,3.699160093865922,4.463892988985907
226,cl2,1,2,8,2,True,2,1,localBWAware,100,600,8,1708.3465209960937,False,3.2325759675781156,4.290034611362518
227,cl2,1,2,8,2,True,2,1,localBWAware,100,600,16,3351.454815673828,False,3.5252333686094093,4.290034611362518
228,cl2,1,2,8,2,True,2,1,localBWAware,100,600,24,5010.911817169189,False,3.699916760025694,4.290034611362518
229,cl2,1,2,8,2,True,2,1,baseline,200,900,8,1586.5214355468752,False,3.20044594424408,4.468347330412158
230,cl2,1,2,8,2,True,2,1,baseline,200,900,16,3153.878764343262,False,3.4988449949571536,4.468347330412158
231,cl2,1,2,8,2,True,2,1,baseline,200,900,24,4720.322877502442,False,3.6739717060751396,4.468347330412158
232,cl2,1,2,8,2,True,2,1,baseline,200,600,8,1589.3239013671873,False,3.201212414665828,4.296665190261531
233,cl2,1,2,8,2,True,2,1,baseline,200,600,16,3159.316994476318,False,3.4995932036338684,4.296665190261531
234,cl2,1,2,8,2,True,2,1,baseline,200,600,24,4728.067543029785,False,3.674683672051626,4.296665190261531
